JennyZigrino_Audio.json,0,guys let's hear from in your twenties right ,0.03,1.82
JennyZigrino_Audio.json,1,if you think I don't care anymore it's perfect even stupid I don't care ,5.85,12.36
JennyZigrino_Audio.json,2,you think I'm lazy I don't care ,13.63,16.49
JennyZigrino_Audio.json,3,you know they come pretty ,17.35,18.33
JennyZigrino_Audio.json,4,why pretty ,19.26,22.53
JennyZigrino_Audio.json,5,I have a little sister she's cute she's eight so I take her out people assume she's my kid ,24.1,28.48
JennyZigrino_Audio.json,6,their eyes like a ,29.1,30.11
JennyZigrino_Audio.json,7,such a shame to have a baby so young who's the father ,31.08,33.9
JennyZigrino_Audio.json,8,I'm like and I'll play fast ,34.61,36.82
JennyZigrino_Audio.json,9,yeah it's tough ask questions ,44.51,45.83
JennyZigrino_Audio.json,10,a quick nnova ,46.0,47.93
JennyZigrino_Audio.json,11,for that I just moved here from New York I ,48.28,50.83
JennyZigrino_Audio.json,12,I live in a cool part of town I live in like the part of town where people go jogging with their dogs ,55.05,59.83
JennyZigrino_Audio.json,13,we just stupid like me my dog understanding we're never gonna go jogging together nnova like we have very similar body types are kind of short stocky barrel chested eight nipples were not ,60.2,71.6
JennyZigrino_Audio.json,14,one eleven the cool neighborhood the confines do they have a very specific haircut it's like on the side and it shape a little bit like to me it looks like a Hitler youth haircut spine I feel like that's the mullet over time where it's like party and ,76.18,92.26
JennyZigrino_Audio.json,15,maps ,92.38,92.63
JennyZigrino_Audio.json,18,and then he'd sat there ,113.03,114.65
JennyZigrino_Audio.json,19,through friendship nnova P. doesn't happen ,115.14,119.09
JennyZigrino_Audio.json,20,and the ,119.2,119.66
JennyZigrino_Audio.json,21,yeah I'm gonna find him and kill him ,120.49,122.12
JennyZigrino_Audio.json,23,find other friend ,125.49,126.45
JennyZigrino_Audio.json,24,benefit with but this is the problem you guys he was the hipster Hasidic Jewish carpenter ,126.54,132.71
JennyZigrino_Audio.json,25,and with Jesus you guys ,134.05,136.12
JennyZigrino_Audio.json,28,listed dirty talk to me in yes ,139.15,141.77
JennyZigrino_Audio.json,29,I loved it I feel like that girl who just found out she likes to be choked but it's by five thousand years of Jewish culture ,142.67,149.06
JennyZigrino_Audio.json,31,we used to role play at that he was my landlord ,159.22,162.66
JennyZigrino_Audio.json,32,which he was and that I would ,163.94,165.53
JennyZigrino_Audio.json,33,and he would knock on my door and be like ms agree no your rents do ,167.7,171.79
JennyZigrino_Audio.json,34,I do like ,172.28,172.8
JennyZigrino_Audio.json,35,however Shelly pain and and we do it ,173.85,177.95
JennyZigrino_Audio.json,36,and then I came eight hundred dollars ,178.69,180.27
JennyZigrino_Audio.json,37,how can I get it right ,185.04,185.95
JennyZigrino_Audio.json,38,but I'm a place I've waited here for plus as **** ,187.72,190.2
JennyZigrino_Audio.json,39,years this was ,196.33,197.18
JennyZigrino_Audio.json,40,desire body type is a very ,197.28,198.75
JennyZigrino_Audio.json,41,things one I was well fed ex I was rich ,199.18,201.84
JennyZigrino_Audio.json,42,now is that I could carry a baby to full term and three this body was reserve your take this to pound town and the mayor but ,202.56,211.08
JennyZigrino_Audio.json,43,well you know that you're all beautiful and wonderful all of you ,217.06,220.15
JennyZigrino_Audio.json,44,I for one girl I met ,220.52,221.45
JennyZigrino_Audio.json,45,tell you I ,221.66,222.24
JennyZigrino_Audio.json,46,I did a show and afterwards very little drunk thinking ,223.48,226.08
JennyZigrino_Audio.json,47,to me and she was like ,226.24,227.65
JennyZigrino_Audio.json,48,%HESITATION lane guide your is so funny about like it is so hard to be skinny ,228.09,233.14
JennyZigrino_Audio.json,49,and I was like okay why why is it so hard in this is our reason ,234.69,239.01
JennyZigrino_Audio.json,50,because sometimes your boyfriend wants to have sex if your boobs and there's nothing there ,239.42,245.77
JennyZigrino_Audio.json,51,now and then that was our whole reason ,248.49,250.11
JennyZigrino_Audio.json,52,at first I was mad I was like screw that girl she's never going to store not been able to get anything she wants off the rack she's never been thought of being stupid or lazy because of her body looks but young guys ,251.2,262.22
JennyZigrino_Audio.json,53,tire time she's looking at me and go on only got ,263.03,265.88
JennyZigrino_Audio.json,54,that girl is ,266.9,267.89
JennyZigrino_Audio.json,55,she has a spare **** on her chest ,270.92,273.24
JennyZigrino_Audio.json,56,you know like ,282.91,283.46
JennyZigrino_Audio.json,57,to peace ,285.36,285.83
JennyZigrino_Audio.json,58,aina ,287.6,287.93
JennyZigrino_Audio.json,59,about of the Jedi here ,288.22,289.5
