JimmyCarr1_Audio.json,0,hello,0.42,0.72,0.3,0
JimmyCarr1_Audio.json,0,on,0.72,0.99,0.27,1
JimmyCarr1_Audio.json,0,Jimmy,0.99,1.24,0.25,0
JimmyCarr1_Audio.json,0,Carter,1.24,1.59,0.35,0
JimmyCarr1_Audio.json,0,should,1.59,1.8,0.21,0
JimmyCarr1_Audio.json,0,explain,1.8,2.41,0.61,0
JimmyCarr1_Audio.json,0,why,2.46,2.72,0.26,0
JimmyCarr1_Audio.json,0,I,2.72,2.88,0.16,1
JimmyCarr1_Audio.json,0,look,2.88,3.13,0.25,1
JimmyCarr1_Audio.json,0,like,3.13,3.35,0.22,1
JimmyCarr1_Audio.json,0,this,3.35,3.58,0.23,0
JimmyCarr1_Audio.json,0,because,3.58,3.86,0.28,0
JimmyCarr1_Audio.json,0,my,3.86,4.03,0.17,1
JimmyCarr1_Audio.json,0,dad,4.03,4.39,0.36,0
JimmyCarr1_Audio.json,0,is,4.39,4.62,0.23,1
JimmyCarr1_Audio.json,0,Irish,4.62,5.23,0.61,0
JimmyCarr1_Audio.json,0,and,5.23,5.4,0.17,1
JimmyCarr1_Audio.json,0,my,5.4,5.53,0.13,0
JimmyCarr1_Audio.json,0,mum,5.53,6.13,0.6,0
JimmyCarr1_Audio.json,0,is,6.39,6.63,0.24,1
JimmyCarr1_Audio.json,0,Roger,6.63,6.99,0.36,0
JimmyCarr1_Audio.json,0,Federer,6.99,7.47,0.48,0
JimmyCarr1_Audio.json,1,but,12.03,12.19,0.16,0
JimmyCarr1_Audio.json,1,no,12.19,12.5,0.31,0
JimmyCarr1_Audio.json,1,spellings,12.5,13.1,0.6,0
JimmyCarr1_Audio.json,1,of,13.1,13.23,0.13,1
JimmyCarr1_Audio.json,1,rectal,13.23,13.62,0.39,0
JimmyCarr1_Audio.json,1,thermometer,13.62,14.41,0.79,0
JimmyCarr1_Audio.json,1,in,14.46,14.61,0.15,0
JimmyCarr1_Audio.json,1,Nepal,14.61,14.94,0.33,0
JimmyCarr1_Audio.json,1,Ken,14.94,15.23,0.29,0
JimmyCarr1_Audio.json,1,thinks,15.23,15.84,0.61,0
JimmyCarr1_Audio.json,2,some,16.43,16.69,0.26,0
JimmyCarr1_Audio.json,2,girls,16.91,17.08,0.17,0
JimmyCarr1_Audio.json,2,go,17.08,17.19,0.11,0
JimmyCarr1_Audio.json,2,my,17.19,17.35,0.16,0
JimmyCarr1_Audio.json,2,pen,17.35,17.72,0.37,0
JimmyCarr1_Audio.json,3,Clinton,26.63,27.04,0.41,0
JimmyCarr1_Audio.json,3,said,27.04,27.26,0.22,1
JimmyCarr1_Audio.json,3,what,27.26,27.5,0.24,1
JimmyCarr1_Audio.json,3,rhymes,27.5,27.87,0.37,0
JimmyCarr1_Audio.json,3,with,27.87,28.03,0.16,0
JimmyCarr1_Audio.json,3,orange,28.03,28.67,0.64,0
JimmyCarr1_Audio.json,4,I,29.11,29.18,0.07,0
JimmyCarr1_Audio.json,4,said,29.18,29.37,0.19,0
JimmyCarr1_Audio.json,4,no,29.37,29.71,0.34,0
JimmyCarr1_Audio.json,4,it,30.1,30.23,0.13,0
JimmyCarr1_Audio.json,4,doesn't,30.23,30.62,0.39,0
JimmyCarr1_Audio.json,5,I,36.19,36.25,0.06,0
JimmyCarr1_Audio.json,5,went,36.25,36.45,0.2,0
JimmyCarr1_Audio.json,5,to,36.45,36.56,0.11,0
JimmyCarr1_Audio.json,5,a,36.56,36.64,0.08,1
JimmyCarr1_Audio.json,5,proper,36.64,37.2,0.56,0
JimmyCarr1_Audio.json,5,show,37.26,37.57,0.31,0
JimmyCarr1_Audio.json,5,biz,37.57,37.9,0.33,0
JimmyCarr1_Audio.json,5,Ponti,37.9,38.5,0.6,0
JimmyCarr1_Audio.json,5,recently,38.53,39.01,0.48,0
JimmyCarr1_Audio.json,5,and,39.01,39.19,0.18,1
JimmyCarr1_Audio.json,5,Brad,39.19,39.5,0.31,1
JimmyCarr1_Audio.json,5,Pitt,39.5,39.97,0.47,0
JimmyCarr1_Audio.json,5,was,40.26,40.52,0.26,1
JimmyCarr1_Audio.json,5,there,40.52,40.99,0.47,1
JimmyCarr1_Audio.json,5,and,41.31,41.5,0.19,1
JimmyCarr1_Audio.json,5,they,41.5,41.61,0.11,0
JimmyCarr1_Audio.json,5,say,41.61,42.14,0.53,1
JimmyCarr1_Audio.json,5,never,42.26,42.54,0.28,1
JimmyCarr1_Audio.json,5,meet,42.54,42.71,0.17,0
JimmyCarr1_Audio.json,5,your,42.71,42.87,0.16,0
JimmyCarr1_Audio.json,5,heroes,42.87,43.35,0.48,0
JimmyCarr1_Audio.json,5,but,43.35,43.53,0.18,1
JimmyCarr1_Audio.json,5,I,43.53,43.66,0.13,1
JimmyCarr1_Audio.json,5,think,43.66,43.97,0.31,0
JimmyCarr1_Audio.json,5,Brad,43.97,44.22,0.25,0
JimmyCarr1_Audio.json,5,handled,44.22,44.57,0.35,0
JimmyCarr1_Audio.json,5,it,44.57,44.73,0.16,1
JimmyCarr1_Audio.json,5,really,44.73,45.03,0.3,0
JimmyCarr1_Audio.json,5,well,45.03,45.35,0.32,1
JimmyCarr1_Audio.json,6,nodding,52.74,53.21,0.47,0
JimmyCarr1_Audio.json,7,flooding,53.73,54.24,0.51,0
JimmyCarr1_Audio.json,7,is,54.24,54.49,0.25,1
JimmyCarr1_Audio.json,7,pretty,54.49,54.72,0.23,0
JimmyCarr1_Audio.json,7,bad,54.72,55.01,0.29,0
JimmyCarr1_Audio.json,7,that's,55.01,55.14,0.13,0
JimmyCarr1_Audio.json,7,been,55.14,55.3,0.16,0
JimmyCarr1_Audio.json,7,terrible,55.3,55.79,0.49,0
JimmyCarr1_Audio.json,7,flooding,55.79,56.25,0.46,0
JimmyCarr1_Audio.json,7,all,56.47,56.69,0.22,0
JimmyCarr1_Audio.json,7,over,56.69,56.91,0.22,0
JimmyCarr1_Audio.json,7,England,56.91,57.28,0.37,0
JimmyCarr1_Audio.json,7,recently,57.28,57.79,0.51,1
JimmyCarr1_Audio.json,7,and,58.04,58.17,0.13,0
JimmyCarr1_Audio.json,7,I,58.17,58.2,0.03,0
JimmyCarr1_Audio.json,7,was,58.2,58.32,0.12,0
JimmyCarr1_Audio.json,7,watching,58.32,58.62,0.3,0
JimmyCarr1_Audio.json,7,the,58.62,58.7,0.08,0
JimmyCarr1_Audio.json,7,news,58.7,59.0,0.3,0
JimmyCarr1_Audio.json,7,us,59.0,59.16,0.16,0
JimmyCarr1_Audio.json,7,or,59.16,59.27,0.11,0
JimmyCarr1_Audio.json,7,woman,59.27,59.63,0.36,0
JimmyCarr1_Audio.json,7,on,59.63,59.75,0.12,0
JimmyCarr1_Audio.json,7,the,59.75,59.82,0.07,0
